plot,date,reading,quad,device,notes
PPW1310,20200509,8.6,A1,4080,
PPW1310,20200509,10.2,A2,4080,
PPW1310,20200509,7.6,A3,4080,
PPW1310,20200509,12,A4,4080,
PPW1310,20200509,5.5,B4,1799,
PPW1310,20200509,5.8,B3,1799,
PPW1310,20200509,8.8,B2,1799,
PPW1310,20200509,6.1,B1,1799,
PPW1310,20200509,6.3,C1,4080,
PPW1310,20200509,12.3,C2,4080,
PPW1310,20200509,14.1,C3,4080,
PPW1310,20200509,12.1,C4,4080,
PPW1310,20200509,10.5,D4,1799,
PPW1310,20200509,9.2,D3,1799,
PPW1310,20200509,6.4,D2,1799,
PPW1310,20200509,5.3,D1,1799,
PPW1309,20200509,7.4,A1,4080,
PPW1309,20200509,6.7,A2,4080,
PPW1309,20200509,75,A3,4080,
PPW1309,20200509,7.7,A4,4080,
PPW1309,20200509,4.5,B4,1799,
PPW1309,20200509,3.1,B3,1799,
PPW1309,20200509,4,B2,1799,
PPW1309,20200509,3.5,B1,1799,
PPW1309,20200509,10.1,C1,4080,
PPW1309,20200509,6.5,C2,4080,
PPW1309,20200509,6.7,C3,4080,
PPW1309,20200509,4.4,C4,4080,
PPW1309,20200509,5.2,D4,1799,
PPW1309,20200509,5,D3,1799,
PPW1309,20200509,4.5,D2,1799,
PPW1309,20200509,4.5,D1,1799,
PPW1312,20200509,14,A1,4080,
PPW1312,20200509,11.5,A2,4080,
PPW1312,20200509,12.5,A3,4080,
PPW1312,20200509,7.8,A4,4080,
PPW1312,20200509,5.5,B4,1799,
PPW1312,20200509,6.4,B3,1799,
PPW1312,20200509,8.2,B2,1799,
PPW1312,20200509,11,B1,1799,
PPW1312,20200509,15.1,C1,4080,
PPW1312,20200509,13.1,C2,4080,
PPW1312,20200509,10.9,C3,4080,
PPW1312,20200509,13.1,C4,4080,
PPW1312,20200509,5.9,D4,1799,
PPW1312,20200509,7.8,D3,1799,
PPW1312,20200509,8.6,D2,1799,
PPW1312,20200509,4.1,D1,1799,
PPW1344,20200509,6.1,A1,4080,
PPW1344,20200509,10.9,A2,4080,
PPW1344,20200509,8.7,A3,4080,
PPW1344,20200509,9.5,A4,4080,
PPW1344,20200509,5.5,B4,1799,
PPW1344,20200509,3.5,B3,1799,
PPW1344,20200509,3.8,B2,1799,
PPW1344,20200509,3.3,B1,1799,
PPW1344,20200509,11.4,C1,4080,
PPW1344,20200509,11.2,C2,4080,
PPW1344,20200509,7.3,C3,4080,
PPW1344,20200509,6.3,C4,4080,
PPW1344,20200509,5.2,D4,1799,
PPW1344,20200509,4.2,D3,1799,
PPW1344,20200509,4.3,D2,1799,
PPW1344,20200509,3.8,D1,1799,
PPW1324,20200509,5.3,A1,4080,
PPW1324,20200509,4,A2,4080,
PPW1324,20200509,3.6,A3,4080,
PPW1324,20200509,5.2,A4,4080,
PPW1324,20200509,5.3,B4,1799,
PPW1324,20200509,6.8,B3,1799,
PPW1324,20200509,4.2,B2,1799,
PPW1324,20200509,5.3,B1,1799,
PPW1324,20200509,8.2,C1,4080,
PPW1324,20200509,6.1,C2,4080,
PPW1324,20200509,7.4,C3,4080,
PPW1324,20200509,7.3,C4,4080,
PPW1324,20200509,4.1,D4,1799,
PPW1324,20200509,5.4,D3,1799,
PPW1324,20200509,4.9,D2,1799,
PPW1324,20200509,6.8,D1,1799,
PPW1315,20200509,6.5,A1,4080,
PPW1315,20200509,4.8,A2,4080,
PPW1315,20200509,10.6,A3,4080,
PPW1315,20200509,9,A4,4080,
PPW1315,20200509,7.5,B4,1799,
PPW1315,20200509,6.2,B3,1799,
PPW1315,20200509,4.1,B2,1799,
PPW1315,20200509,4.5,B1,1799,
PPW1315,20200509,7.4,C1,4080,
PPW1315,20200509,6.8,C2,4080,
PPW1315,20200509,7.2,C3,4080,
PPW1315,20200509,9.1,C4,4080,
PPW1315,20200509,6.7,D4,1799,
PPW1315,20200509,4.2,D3,1799,
PPW1315,20200509,4.3,D2,1799,
PPW1315,20200509,5.3,D1,1799,
PPW1332,20200509,12.9,A1,4080,
PPW1332,20200509,14.2,A2,4080,
PPW1332,20200509,8.2,A3,4080,
PPW1332,20200509,12.1,A4,4080,
PPW1332,20200509,6.5,B4,1799,
PPW1332,20200509,5.5,B3,1799,
PPW1332,20200509,10.8,B2,1799,
PPW1332,20200509,11.2,B1,1799,
PPW1332,20200509,9.9,C1,4080,
PPW1332,20200509,12.9,C2,4080,
PPW1332,20200509,11.1,C3,4080,
PPW1332,20200509,10.6,C4,4080,
PPW1332,20200509,7.1,D4,1799,
PPW1332,20200509,5.5,D3,1799,
PPW1332,20200509,5.8,D2,1799,
PPW1332,20200509,5.4,D1,1799,
PPW1335,20200509,6.6,A1,4080,
PPW1335,20200509,6.1,A2,4080,
PPW1335,20200509,7.5,A3,4080,
PPW1335,20200509,8.2,A4,4080,
PPW1335,20200509,5.6,B4,1799,
PPW1335,20200509,4.1,B3,1799,
PPW1335,20200509,5.1,B2,1799,
PPW1335,20200509,5.5,B1,1799,
PPW1335,20200509,10.2,C1,4080,
PPW1335,20200509,8.7,C2,4080,
PPW1335,20200509,8.6,C3,4080,
PPW1335,20200509,8.5,C4,4080,
PPW1335,20200509,7.8,D4,1799,
PPW1335,20200509,5.5,D3,1799,
PPW1335,20200509,4.8,D2,1799,
PPW1335,20200509,5.5,D1,1799,
PPW1340,20200509,12.5,A1,4080,
PPW1340,20200509,10.1,A2,4080,
PPW1340,20200509,9,A3,4080,
PPW1340,20200509,13,A4,4080,
PPW1340,20200509,6.3,B4,1799,
PPW1340,20200509,6.7,B3,1799,
PPW1340,20200509,5.1,B2,1799,
PPW1340,20200509,4.4,B1,1799,
PPW1340,20200509,9.1,C1,4080,
PPW1340,20200509,11.2,C2,4080,
PPW1340,20200509,9.9,C3,4080,
PPW1340,20200509,7.8,C4,4080,
PPW1340,20200509,5.2,D4,1799,
PPW1340,20200509,6.1,D3,1799,
PPW1340,20200509,6.8,D2,1799,
PPW1340,20200509,8.8,D1,1799,
PPW1852,20200509,11.5,A1,4080,
PPW1852,20200509,8.5,A2,4080,
PPW1852,20200509,13.2,A3,4080,
PPW1852,20200509,9.1,A4,4080,
PPW1852,20200509,6.3,B4,1799,
PPW1852,20200509,7.3,B3,1799,
PPW1852,20200509,6.5,B2,1799,
PPW1852,20200509,5.5,B1,1799,
PPW1852,20200509,10,C1,4080,
PPW1852,20200509,8.7,C2,4080,
PPW1852,20200509,8.3,C3,4080,
PPW1852,20200509,8.1,C4,4080,
PPW1852,20200509,4.4,D4,1799,
PPW1852,20200509,4.5,D3,1799,
PPW1852,20200509,3.7,D2,1799,
PPW1852,20200509,3.5,D1,1799,
PPW1322,20200509,7.3,A1,4080,
PPW1322,20200509,9.5,A2,4080,
PPW1322,20200509,15.5,A3,4080,
PPW1322,20200509,16,A4,4080,
PPW1322,20200509,4,B4,1799,
PPW1322,20200509,6.9,B3,1799,
PPW1322,20200509,4.7,B2,1799,
PPW1322,20200509,3.9,B1,1799,
PPW1322,20200509,10.2,C1,4080,
PPW1322,20200509,12.3,C2,4080,
PPW1322,20200509,11.7,C3,4080,
PPW1322,20200509,9,C4,4080,
PPW1322,20200509,11.5,D4,1799,
PPW1322,20200509,6.5,D3,1799,
PPW1322,20200509,8.6,D2,1799,
PPW1322,20200509,9,D1,1799,
PPW1338,20200509,16.1,A1,4080,
PPW1338,20200509,16.3,A2,4080,
PPW1338,20200509,12.4,A3,4080,
PPW1338,20200509,12.3,A4,4080,
PPW1338,20200509,7,B4,1799,
PPW1338,20200509,6.5,B3,1799,
PPW1338,20200509,11.5,B2,1799,
PPW1338,20200509,10.8,B1,1799,
PPW1338,20200509,19.3,C1,4080,
PPW1338,20200509,18.7,C2,4080,
PPW1338,20200509,18.9,C3,4080,
PPW1338,20200509,16.2,C4,4080,
PPW1338,20200509,9.5,D4,1799,
PPW1338,20200509,8.5,D3,1799,
PPW1338,20200509,9.3,D2,1799,
PPW1338,20200509,9.4,D1,1799,
PPW1339,20200509,7,A1,4080,
PPW1339,20200509,10.5,A2,4080,
PPW1339,20200509,14.1,A3,4080,
PPW1339,20200509,11.5,A4,4080,
PPW1339,20200509,4.2,B4,1799,
PPW1339,20200509,7.5,B3,1799,
PPW1339,20200509,6.1,B2,1799,
PPW1339,20200509,4.5,B1,1799,
PPW1339,20200509,7.5,C1,4080,
PPW1339,20200509,7.4,C2,4080,
PPW1339,20200509,7.7,C3,4080,
PPW1339,20200509,13.9,C4,4080,
PPW1339,20200509,3.5,D4,1799,
PPW1339,20200509,7.4,D3,1799,
PPW1339,20200509,6.3,D2,1799,
PPW1339,20200509,4.5,D1,1799,
PPW1321,20200509,8.7,A1,4080,
PPW1321,20200509,4.1,A2,4080,
PPW1321,20200509,7.9,A3,4080,
PPW1321,20200509,8.5,A4,4080,
PPW1321,20200509,3.1,B4,1799,
PPW1321,20200509,6.7,B3,1799,
PPW1321,20200509,2.3,B2,1799,
PPW1321,20200509,3.1,B1,1799,
PPW1321,20200509,5.4,C1,4080,
PPW1321,20200509,4.8,C2,4080,
PPW1321,20200509,3.5,C3,4080,
PPW1321,20200509,4.2,C4,4080,
PPW1321,20200509,5.4,D4,1799,
PPW1321,20200509,8.8,D3,1799,
PPW1321,20200509,4.1,D2,1799,
PPW1321,20200509,5.8,D1,1799,
PPW1349,20200509,11.5,A1,4080,
PPW1349,20200509,11.2,A2,4080,
PPW1349,20200509,12.2,A3,4080,
PPW1349,20200509,15.4,A4,4080,
PPW1349,20200509,7.2,B4,1799,
PPW1349,20200509,5.1,B3,1799,
PPW1349,20200509,6.3,B2,1799,
PPW1349,20200509,10.2,B1,1799,
PPW1349,20200509,11.6,C1,4080,
PPW1349,20200509,9.3,C2,4080,
PPW1349,20200509,11.2,C3,4080,
PPW1349,20200509,7.6,C4,4080,
PPW1349,20200509,7.4,D4,1799,
PPW1349,20200509,6.5,D3,1799,
PPW1349,20200509,6.8,D2,1799,
PPW1349,20200509,8.5,D1,1799,
PPW1301,20200509,6.3,A1,4080,
PPW1301,20200509,6.5,A2,4080,
PPW1301,20200509,7.3,A3,4080,
PPW1301,20200509,4.5,A4,4080,
PPW1301,20200509,3,B4,1799,
PPW1301,20200509,3.6,B3,1799,
PPW1301,20200509,3.8,B2,1799,
PPW1301,20200509,2.5,B1,1799,
PPW1301,20200509,5,C1,4080,
PPW1301,20200509,6.3,C2,4080,
PPW1301,20200509,10.3,C3,4080,
PPW1301,20200509,9.7,C4,4080,
PPW1301,20200509,3.5,D4,1799,
PPW1301,20200509,3.8,D3,1799,
PPW1301,20200509,3.2,D2,1799,
PPW1301,20200509,3.1,D1,1799,
PPW1307,20200509,8.1,A1,4080,
PPW1307,20200509,11.3,A2,4080,
PPW1307,20200509,7.5,A3,4080,
PPW1307,20200509,7.6,A4,4080,
PPW1307,20200509,3,B4,1799,
PPW1307,20200509,3.6,B3,1799,
PPW1307,20200509,3.8,B2,1799,
PPW1307,20200509,10.5,B1,1799,
PPW1307,20200509,4.2,C1,4080,
PPW1307,20200509,6.5,C2,4080,
PPW1307,20200509,6.1,C3,4080,
PPW1307,20200509,8,C4,4080,
PPW1307,20200509,4.5,D4,1799,
PPW1307,20200509,5.2,D3,1799,
PPW1307,20200509,4.5,D2,1799,
PPW1307,20200509,3.1,D1,1799,
PPW1325,20200509,7.5,A1,4080,
PPW1325,20200509,5.2,A2,4080,
PPW1325,20200509,7.9,A3,4080,
PPW1325,20200509,7.8,A4,4080,
PPW1325,20200509,4.2,B4,1799,
PPW1325,20200509,3.1,B3,1799,
PPW1325,20200509,4.5,B2,1799,
PPW1325,20200509,3.9,B1,1799,
PPW1325,20200509,5.5,C1,4080,
PPW1325,20200509,6.8,C2,4080,
PPW1325,20200509,8.5,C3,4080,
PPW1325,20200509,8.8,C4,4080,
PPW1325,20200509,4.5,D4,1799,
PPW1325,20200509,6.5,D3,1799,
PPW1325,20200509,3.5,D2,1799,
PPW1325,20200509,4.5,D1,1799,